HEADER, color, company, run, ohack, fatty, other
black/grey, 0, 1, 0, 5, 4
light grey, 1, 2, 0, 0, 0
ROP, 1, 2, 3, 1, 0
blue, 3, 0, 0, 0, 1
green, 0, 1, 3, 0, 0
other, 0, 0, 0, 0, 2
